ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,484,2876.5,875.5,0,484,0,0
1,485,3785.0,874.5,0,485,844,0
1,486,1631.3333333333333,875.6666666666666,0,486,799,0
1,487,2233.5,876.5,0,487,0,0
1,488,2289.0,876.7142857142857,0,488,814,0
1,489,257.3333333333333,878.3333333333334,0,489,820,0
1,490,1498.5,878.0,0,490,791,0
1,491,263.5,881.0,0,491,820,0
1,492,3690.0,883.5,0,492,868,0
1,493,3182.6666666666665,885.6666666666666,0,493,841,0
1,494,3671.5,886.5,0,494,868,0
1,495,4094.5,885.5,0,495,0,0
1,496,1724.0,887.0,0,496,824,0
1,497,2389.714285714286,887.0,0,497,785,0
1,498,2759.3333333333335,886.6666666666666,0,498,846,0
1,499,2917.1666666666665,887.1666666666666,0,499,813,0
1,500,274.75,890.0,0,500,820,0
1,501,1722.3333333333333,888.3333333333334,0,501,824,0
1,502,3674.3333333333335,889.3333333333334,0,502,868,0
1,503,820.6666666666666,889.3333333333334,0,503,828,0
1,504,274.0,891.0,0,504,820,0
1,505,318.8,893.4,0,505,0,15
1,506,3524.0,894.5,0,506,827,0
1,507,3144.0,895.0,0,507,818,0
1,508,1940.6,895.8,0,508,854,0
1,509,1530.2857142857142,897.0,0,509,823,0
1,510,1511.5,901.0,0,510,823,0
1,511,2746.5,901.5,0,511,846,0
1,512,2810.5,902.5,0,512,837,0
1,513,1733.8333333333333,902.8333333333334,0,513,859,0
1,514,1321.0,903.2857142857143,0,514,810,0
1,515,1859.4,904.8,0,515,850,0
1,516,3172.4,905.2,0,516,841,0
1,517,1154.0,906.0,0,517,845,0
1,518,3750.6666666666665,906.5,0,518,872,0
1,519,409.0,906.75,0,519,858,0
1,520,3176.8,906.6,0,520,841,0
1,521,3405.5,906.5,0,521,843,0
1,522,3166.1428571428573,909.2857142857143,0,522,841,0
1,523,728.0,910.5,0,523,851,0
1,524,1944.5,910.5,0,524,867,0
1,525,1373.5,911.5,0,525,849,0
1,526,1252.6666666666667,911.6666666666666,0,526,912,0
1,527,3791.0,912.7142857142857,0,527,844,0
1,528,4073.0,913.5,0,528,885,0
1,529,289.0,916.5,0,529,0,17
1,530,318.5,916.5,0,530,856,0
1,531,952.4,915.8,0,531,0,0
1,532,4087.285714285714,916.0,0,532,885,0
1,533,424.8333333333333,916.8333333333334,0,533,858,0
1,534,692.3333333333334,920.6666666666666,0,534,887,0
1,535,685.0,922.5,0,535,887,0
1,536,1610.0,923.0,0,536,853,0
1,537,413.2,923.6,0,537,876,0
1,538,802.5,923.5,0,538,828,0
1,539,891.7142857142857,924.0,0,539,0,0
1,540,1258.5,924.5,0,540,912,0
1,541,1287.0,925.5,0,541,912,0
1,542,3162.5,924.5,0,542,894,0
1,543,352.0,926.0,0,543,899,0
1,544,1738.0,927.0,0,544,889,0
1,545,2039.5,928.0,0,545,910,0
1,546,2035.0,929.0,0,546,910,0
1,547,4101.666666666667,929.3333333333334,0,547,885,0
1,548,905.6666666666666,929.3333333333334,0,548,918,0
